plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,rgb_tif,rgb_png
GAO20210427t173055p0000-2,28.94238901,-89.71738326,2021-04-27T17:30:55Z,Oil & Gas (1B2),CH4,mfm,"[-89.72199966372162, 28.93887656416108, -89.71383517153332, 28.946052835967812]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,173.8848582,74.27121506,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210427t173055p0000-2_l3a-ch4-mf-v1_plume.tif,GAO20210427t173055p0000-2_l3a-ch4-mf-v1_plume.png,GAO20210427t173055p0000-2_l3a-ch4-mf-v1_rgb.tif,GAO20210427t173055p0000-2_l3a-ch4-mf-v1_rgb.png
GAO20210427t174712p0000-1,29.08860809,-89.28648602,2021-04-27T17:47:12Z,Oil & Gas (1B2),CH4,mfm,"[-89.29019515853041, 29.084831176951234, -89.28191381962355, 29.0920679926193]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,894.2902331,479.778628,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210427t174712p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210427t174712p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210427t174712p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210427t174712p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210428t173030p0000-19,30.0370921,-93.332391,2021-04-28T17:30:30Z,Oil & Gas (1B2),CH4,mfm,"[-93.34955054434104, 30.0342489788009, -93.32585669804318, 30.05472774069516]",GAO,2023-05-14T20:23:41Z,NA,NA,NA,NA,5774.344132,1015.050665,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210428t173030p0000-19_l3a-ch4-mf-v1_plume.tif,GAO20210428t173030p0000-19_l3a-ch4-mf-v1_plume.png,GAO20210428t173030p0000-19_l3a-ch4-mf-v1_rgb.tif,GAO20210428t173030p0000-19_l3a-ch4-mf-v1_rgb.png
GAO20210428t175223p0000-1,30.21084002,-93.29384363,2021-04-28T17:52:23Z,Oil & Gas (1B2),CH4,mfm,"[-93.29792814586696, 30.20767494356183, -93.28979830314832, 30.214700563101964]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,1124.412126,368.553345,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210428t175223p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210428t175223p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210428t175223p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210428t175223p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t153811p0000-1,28.9470627,-89.70715225,2021-04-29T15:38:11Z,Oil & Gas (1B2),CH4,mfm,"[-89.7198217287521, 28.938506114836894, -89.71151330172165, 28.945776892705705]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,997.9919913,342.2138338,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t153811p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t153811p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t153811p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t153811p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t154206p0000-1,28.94702765,-89.70700982,2021-04-29T15:42:06Z,Oil & Gas (1B2),CH4,mfm,"[-89.71119954335995, 28.943378116489257, -89.70292685531331, 28.950648753035427]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,1169.552375,429.7482011,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t154206p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t154206p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t154206p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t154206p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t155110p0000-1,28.9987752,-89.959322,2021-04-29T15:51:10Z,Oil & Gas (1B2),CH4,mfm,"[-89.96493288801737, 28.99549706666881, -89.95661849764745, 29.002769057322485]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,1292.555851,423.9662055,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t155110p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t155110p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t155110p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t155110p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t155501p0000-1,28.9988059,-89.959286,2021-04-29T15:55:01Z,Oil & Gas (1B2),CH4,mfm,"[-89.96518847575238, 28.996577031204403, -89.95691009710636, 29.00384892946375]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,2866.090369,819.2687628,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t155501p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t155501p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t155501p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t155501p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t160113p0000-1,28.94592967,-90.03128299,2021-04-29T16:01:13Z,Oil & Gas (1B2),CH4,mfm,"[-90.03821115235633, 28.946687499904378, -90.03000818790174, 28.953865422852793]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,228.3960067,127.1852332,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t160113p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t160113p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t160113p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t160113p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t160451p0000-1,28.94611421,-90.03106239,2021-04-29T16:04:51Z,Oil & Gas (1B2),CH4,mfm,"[-90.03546668226343, 28.942238986447446, -90.02726408192325, 28.949416899031284]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,176.6000783,103.5919886,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t160451p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t160451p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t160451p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t160451p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t160936p0000-1,29.0981563,-89.98203,2021-04-29T16:09:36Z,Oil & Gas (1B2),CH4,mfm,"[-89.98622002417522, 29.094499911371038, -89.97804181542294, 29.101677415966503]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,112.1949593,61.35474008,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t160936p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t160936p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t160936p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t160936p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t161338p0000-1,29.09829707,-89.98127143,2021-04-29T16:13:38Z,Oil & Gas (1B2),CH4,mfm,"[-89.9862560515867, 29.09449997768905, -89.97796975965281, 29.101708962441084]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,56.65916333,24.19273817,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t161338p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t161338p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t161338p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t161338p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t164954p0000-1,28.9288187,-90.353459,2021-04-29T16:49:54Z,Oil & Gas (1B2),CH4,mfm,"[-90.36117368182026, 28.92547458375646, -90.35113605147912, 28.9342596431147]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,951.1427067,414.0081444,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t164954p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t164954p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t164954p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t164954p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t165411p0000-1,28.928818,-90.353423,2021-04-29T16:54:11Z,Oil & Gas (1B2),CH4,mfm,"[-90.36005610445861, 28.925735009402025, -90.35088173913468, 28.93376453753432]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,1322.297293,551.1578267,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t165411p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t165411p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t165411p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t165411p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t170220p0000-1,29.1137776,-90.483205,2021-04-29T17:02:20Z,Oil & Gas (1B2),CH4,mfm,"[-90.49152619167094, 29.10964895274316, -90.48146995926062, 29.11840312195191]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,500.9169815,146.598716,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t170220p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t170220p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t170220p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t170220p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t170658p0000-1,29.113683,-90.483207,2021-04-29T17:06:58Z,Oil & Gas (1B2),CH4,mfm,"[-90.48971287427513, 29.110371481006734, -90.48149499151113, 29.11755106461192]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,436.0597018,122.2539124,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t170658p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t170658p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t170658p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t170658p0000-1_l3a-ch4-mf-v1_rgb.png
