plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,rgb_tif,rgb_png
ang20200708t192518-3,34.3198985,-118.51149,2020-07-08T19:25:18+00,Solid Waste (6A),CH4,mf,"[-118.51467195278839, 34.31723659827769, -118.50827227840934, 34.32252210677444]",ang,2023-05-14 20:23:41.645224+00:00,,,,,339.311781,204.404889,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t192518-3_l3a-ch4-mf-v1_plume.tif,ang20200708t192518-3_l3a-ch4-mf-v1_plume.png,ang20200708t192518-3_l3a-ch4-mf-v1_rgb.tif,ang20200708t192518-3_l3a-ch4-mf-v1_rgb.png
ang20200708t200101-1,35.0598107,-119.38014,2020-07-08T20:01:01+00,Oil & Gas (1B2),CH4,mf,"[-119.38474248346324, 35.05517100584558, -119.37701324122133, 35.06152578421522]",ang,2023-05-14 20:26:54.217443+00:00,,,,,143.699417,45.1939368,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t200101-1_l3a-ch4-mf-v1_plume.tif,ang20200708t200101-1_l3a-ch4-mf-v1_plume.png,ang20200708t200101-1_l3a-ch4-mf-v1_rgb.tif,ang20200708t200101-1_l3a-ch4-mf-v1_rgb.png
ang20200708t200101-A,35.1337767,-119.49487,2020-07-08T20:01:01+00,Oil & Gas (1B2),CH4,mf,"[-119.49898686233031, 35.130256623723014, -119.49118296333071, 35.13666662933642]",ang,2023-05-14 20:29:35.900341+00:00,,,,,114.342534,59.14483,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t200101-A_l3a-ch4-mf-v1_plume.tif,ang20200708t200101-A_l3a-ch4-mf-v1_plume.png,ang20200708t200101-A_l3a-ch4-mf-v1_rgb.tif,ang20200708t200101-A_l3a-ch4-mf-v1_rgb.png
ang20200708t200101-B,35.0766945,-119.40862,2020-07-08T20:01:01+00,Oil & Gas (1B2),CH4,mf,"[-119.41247462072836, 35.07359896577911, -119.40474376191248, 35.07995363838688]",ang,2023-05-14 20:26:54.215771+00:00,,,,,89.8971693,11.4197624,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t200101-B_l3a-ch4-mf-v1_plume.tif,ang20200708t200101-B_l3a-ch4-mf-v1_plume.png,ang20200708t200101-B_l3a-ch4-mf-v1_rgb.tif,ang20200708t200101-B_l3a-ch4-mf-v1_rgb.png
ang20200708t200905-1,35.2003804,-119.49091,2020-07-08T20:09:05+00,Oil & Gas (1B2),CH4,mf,"[-119.4948760340821, 35.19712550386971, -119.48703146490494, 35.20356349645497]",ang,2023-05-14 20:23:41.649533+00:00,,,,,657.233605,167.638633,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t200905-1_l3a-ch4-mf-v1_plume.tif,ang20200708t200905-1_l3a-ch4-mf-v1_plume.png,ang20200708t200905-1_l3a-ch4-mf-v1_rgb.tif,ang20200708t200905-1_l3a-ch4-mf-v1_rgb.png
ang20200708t200905-A,35.2068868,-119.51946,2020-07-08T20:09:05+00,Oil & Gas (1B2),CH4,mf,"[-119.52329586329643, 35.20346823750348, -119.51545089638883, 35.20990605368852]",ang,2023-05-14 20:31:24.162642+00:00,,,,,95.1104595,19.028994,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t200905-A_l3a-ch4-mf-v1_plume.tif,ang20200708t200905-A_l3a-ch4-mf-v1_plume.png,ang20200708t200905-A_l3a-ch4-mf-v1_rgb.tif,ang20200708t200905-A_l3a-ch4-mf-v1_rgb.png
ang20200708t200905-B,35.166347,-119.42266,2020-07-08T20:09:05+00,Oil & Gas (1B2),CH4,mf,"[-119.42592929977766, 35.16269758210701, -119.41812191580449, 35.16905215445874]",ang,2023-05-14 20:27:47.125078+00:00,,,,,446.476401,90.8020969,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t200905-B_l3a-ch4-mf-v1_plume.tif,ang20200708t200905-B_l3a-ch4-mf-v1_plume.png,ang20200708t200905-B_l3a-ch4-mf-v1_rgb.tif,ang20200708t200905-B_l3a-ch4-mf-v1_rgb.png
ang20200708t201547-A,35.1877998,-119.44797,2020-07-08T20:15:47+00,Oil & Gas (1B2),CH4,mf,"[-119.4518247969157, 35.18432994144783, -119.4440154610845, 35.190684411263035]",ang,2023-05-14 20:28:40.207350+00:00,,,,,183.959993,42.0069902,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t201547-A_l3a-ch4-mf-v1_plume.tif,ang20200708t201547-A_l3a-ch4-mf-v1_plume.png,ang20200708t201547-A_l3a-ch4-mf-v1_rgb.tif,ang20200708t201547-A_l3a-ch4-mf-v1_rgb.png
ang20200708t201547-B,35.1663876,-119.4228,2020-07-08T20:15:47+00,Oil & Gas (1B2),CH4,mf,"[-119.42614401551963, 35.16324369000093, -119.41837058702953, 35.16959833240278]",ang,2023-05-14 20:29:35.907100+00:00,,,,,221.271847,56.4610836,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t201547-B_l3a-ch4-mf-v1_plume.tif,ang20200708t201547-B_l3a-ch4-mf-v1_plume.png,ang20200708t201547-B_l3a-ch4-mf-v1_rgb.tif,ang20200708t201547-B_l3a-ch4-mf-v1_rgb.png
ang20200708t202321-1,35.295289,-119.55219,2020-07-08T20:23:21+00,Oil & Gas (1B2),CH4,mf,"[-119.55611475574435, 35.2912594196286, -119.54851484263223, 35.29743545802961]",ang,2023-05-14 20:31:24.162333+00:00,,,,,386.483513,200.048473,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,ang20200708t202321-1_l3a-ch4-mf-v1_plume.tif,ang20200708t202321-1_l3a-ch4-mf-v1_plume.png,ang20200708t202321-1_l3a-ch4-mf-v1_rgb.tif,ang20200708t202321-1_l3a-ch4-mf-v1_rgb.png
