detect_date,oil,probable_oil,possible_oil,other,wind,oil_other,iso3
2017-01-01,1,0,0,0,0,1,ABW
2017-01-01,58,0,1,0,0,58,AGO
2017-01-01,525,1,1,9,0,534,ARE
2017-01-01,0,0,1,0,0,0,ASM
2017-01-01,0,0,1,0,0,0,ATG
2017-01-01,59,3,24,33,0,92,AUS
2017-01-01,0,0,1,5,236,5,BEL
2017-01-01,10,0,0,0,0,10,BEN
2017-01-01,0,0,1,0,0,0,BES
2017-01-01,3,2,0,0,0,3,BGD
2017-01-01,1,0,0,0,0,1,BGR
2017-01-01,3,0,0,0,0,3,BHR
2017-01-01,0,0,2,2,0,2,BHS
2017-01-01,137,8,6,9,0,146,BRA
2017-01-01,118,1,0,0,0,118,BRN
2017-01-01,3,0,7,2,0,5,CAN
2017-01-01,0,0,1,1,0,1,CHL
2017-01-01,250,31,75,150,506,400,CHN
2017-01-01,12,0,0,0,0,12,CIV
2017-01-01,71,0,0,0,0,71,CMR
2017-01-01,18,1,0,0,0,18,COD
2017-01-01,12,3,2,0,0,12,COL
2017-01-01,2,0,4,1,0,3,CUB
2017-01-01,21,15,2,28,1166,49,DEU
2017-01-01,0,0,1,0,0,0,DJI
2017-01-01,0,0,1,0,0,0,DMA
2017-01-01,13,2,1,13,463,26,DNK
2017-01-01,0,0,2,0,0,0,DOM
2017-01-01,0,0,4,0,0,0,DZA
2017-01-01,9,1,3,0,0,9,ECU
2017-01-01,160,7,0,4,0,164,EGY
2017-01-01,0,0,2,0,0,0,ERI
2017-01-01,3,9,0,6,0,9,ESP
2017-01-01,0,0,1,1,0,1,EST
2017-01-01,0,0,0,33,1,33,FIN
2017-01-01,0,0,1,16,0,16,FRA
2017-01-01,100,0,0,0,0,100,GAB
2017-01-01,172,8,3,17,1797,189,GBR
2017-01-01,1,0,0,1,0,2,GEO
2017-01-01,2,0,3,1,0,3,GHA
2017-01-01,0,0,1,0,0,0,GIN
2017-01-01,0,0,1,0,0,0,GMB
2017-01-01,0,0,1,6,0,6,GNB
2017-01-01,13,0,0,0,0,13,GNQ
2017-01-01,2,0,0,0,0,2,GRC
2017-01-01,0,0,1,1,0,1,GUF
2017-01-01,16,0,0,3,0,19,HRV
2017-01-01,310,16,34,27,0,337,IDN
2017-01-01,161,3,28,14,0,175,IND
2017-01-01,3,0,1,3,7,6,IRL
2017-01-01,152,1,0,2,0,154,IRN
2017-01-01,1,0,0,8,0,9,IRQ
2017-01-01,0,0,1,0,0,0,ISL
2017-01-01,4,0,1,0,0,4,ISR
2017-01-01,103,6,3,2,0,105,ITA
2017-01-01,0,0,0,2,0,2,JEY
2017-01-01,18,5,33,29,0,47,JPN
2017-01-01,0,0,3,0,0,0,KEN
2017-01-01,3,0,1,3,0,6,KHM
2017-01-01,4,0,56,41,1,45,KOR
2017-01-01,30,0,0,35,0,65,KWT
2017-01-01,0,0,1,0,0,0,LBN
2017-01-01,0,0,2,0,0,0,LBR
2017-01-01,11,0,2,0,0,11,LBY
2017-01-01,0,0,4,2,0,2,LKA
2017-01-01,1,0,0,0,0,1,LTU
2017-01-01,0,0,1,0,0,0,LVA
2017-01-01,0,0,1,0,0,0,MDG
2017-01-01,153,1,8,0,0,153,MEX
2017-01-01,4,1,12,4,0,8,MMR
2017-01-01,0,0,0,3,0,3,MOZ
2017-01-01,0,0,4,0,0,0,MRT
2017-01-01,180,18,59,20,0,200,MYS
2017-01-01,11,0,0,0,0,11,NAM
2017-01-01,425,2,1,0,0,425,NGA
2017-01-01,0,0,4,1,0,1,NIC
2017-01-01,106,10,1,3,292,109,NLD
2017-01-01,12,0,0,7,1,19,NOR
2017-01-01,7,0,1,3,0,10,NZL
2017-01-01,18,0,10,0,0,18,None
2017-01-01,6,0,1,0,0,6,OMN
2017-01-01,0,0,1,0,0,0,PAK
2017-01-01,0,0,5,0,0,0,PAN
2017-01-01,88,1,3,4,0,92,PER
2017-01-01,6,0,7,3,0,9,PHL
2017-01-01,3,0,0,1,0,4,PNG
2017-01-01,9,3,0,4,3,13,POL
2017-01-01,0,0,1,0,0,0,PRI
2017-01-01,0,0,3,4,0,4,PRK
2017-01-01,0,0,1,0,0,0,PRT
2017-01-01,166,0,3,0,0,166,QAT
2017-01-01,8,0,0,0,0,8,ROU
2017-01-01,9,2,3,2,0,11,RUS
2017-01-01,620,25,6,1,0,621,SAU
2017-01-01,1,0,3,0,0,1,SDN
2017-01-01,1,0,0,0,0,1,SEN
2017-01-01,0,0,0,4,0,4,SLE
2017-01-01,0,0,2,1,0,1,SOM
2017-01-01,0,0,1,40,73,40,SWE
2017-01-01,2,0,0,0,0,2,TGO
2017-01-01,322,0,15,30,0,352,THA
2017-01-01,72,0,0,0,0,72,TTO
2017-01-01,15,11,2,1,0,16,TUN
2017-01-01,5,0,9,32,0,37,TUR
2017-01-01,6,4,1,0,2,6,TWN
2017-01-01,2,0,0,0,0,2,TZA
2017-01-01,16,3,3,9,0,25,UKR
2017-01-01,0,0,1,0,0,0,URY
2017-01-01,2239,45,1,478,5,2717,USA
2017-01-01,10,2,2,1,0,11,VEN
2017-01-01,43,0,18,109,8,152,VNM
2017-01-01,0,0,1,0,0,0,VUT
2017-01-01,2,0,6,0,0,2,YEM
2017-01-01,1,0,2,1,0,2,ZAF
2017-02-01,2,0,0,0,0,2,ABW
2017-02-01,120,1,1,0,0,120,AGO
2017-02-01,532,1,1,9,0,541,ARE
2017-02-01,0,0,1,0,0,0,ASM
2017-02-01,0,0,1,0,0,0,ATG
2017-02-01,62,3,27,41,0,103,AUS
2017-02-01,0,0,1,5,236,5,BEL
2017-02-01,10,0,0,0,0,10,BEN
2017-02-01,0,0,1,0,0,0,BES
2017-02-01,4,2,0,0,0,4,BGD
2017-02-01,1,0,0,0,0,1,BGR
2017-02-01,3,0,1,0,0,3,BHR
2017-02-01,0,0,2,2,0,2,BHS
2017-02-01,141,11,6,15,0,156,BRA
2017-02-01,119,2,0,0,0,119,BRN
2017-02-01,6,0,7,8,0,14,CAN
2017-02-01,0,0,1,1,0,1,CHL
2017-02-01,257,33,82,173,540,430,CHN
2017-02-01,12,0,0,0,0,12,CIV
2017-02-01,71,0,0,0,0,71,CMR
2017-02-01,52,1,0,0,0,52,COD
2017-02-01,61,0,0,0,0,61,COG
2017-02-01,12,3,3,0,0,12,COL
2017-02-01,2,0,4,1,0,3,CUB
2017-02-01,21,16,2,28,1169,49,DEU
2017-02-01,0,0,1,0,0,0,DJI
2017-02-01,0,0,1,0,0,0,DMA
2017-02-01,14,2,1,17,463,31,DNK
2017-02-01,0,0,2,0,0,0,DOM
2017-02-01,0,0,4,1,0,1,DZA
2017-02-01,9,1,3,0,0,9,ECU
2017-02-01,172,7,1,4,0,176,EGY
2017-02-01,0,0,2,0,0,0,ERI
2017-02-01,3,10,0,6,0,9,ESP
2017-02-01,0,0,1,1,0,1,EST
2017-02-01,0,0,0,38,1,38,FIN
2017-02-01,0,0,1,0,0,0,FJI
2017-02-01,0,0,3,22,0,22,FRA
2017-02-01,115,0,1,0,0,115,GAB
2017-02-01,182,11,3,17,1812,199,GBR
2017-02-01,1,0,0,1,0,2,GEO
2017-02-01,2,0,3,1,0,3,GHA
2017-02-01,0,0,1,0,0,0,GIN
2017-02-01,0,0,1,0,0,0,GMB
2017-02-01,0,0,1,9,0,9,GNB
2017-02-01,13,0,0,0,0,13,GNQ
2017-02-01,5,0,0,0,0,5,GRC
2017-02-01,0,0,1,1,0,1,GUF
2017-02-01,16,0,0,3,0,19,HRV
2017-02-01,409,19,42,50,0,459,IDN
2017-02-01,168,3,31,15,0,183,IND
2017-02-01,3,0,2,5,7,8,IRL
2017-02-01,159,1,0,2,0,161,IRN
2017-02-01,1,0,0,8,0,9,IRQ
2017-02-01,0,0,1,0,0,0,ISL
2017-02-01,4,0,2,0,0,4,ISR
2017-02-01,104,6,3,4,0,108,ITA
2017-02-01,0,0,0,2,0,2,JEY
2017-02-01,19,5,33,30,0,49,JPN
2017-02-01,0,0,3,0,0,0,KEN
2017-02-01,3,0,2,4,0,7,KHM
2017-02-01,4,0,59,48,1,52,KOR
2017-02-01,34,0,0,36,0,70,KWT
