terminal_id,project_id,combo_id,wiki,terminal_name,unit_name,facility_type,status,country,other_language_name,other_english_names,owner,parent,parent_hq_country,capacity,capacity_units,capacity_in_mtpa,capacity_in_bcm_y,proposal_year,proposal_month,construction_year,construction_month,start_year1,start_month1,start_year2,start_year3,delayed_start_year,start_year_earliest,shelved_year,cancelled_year,stop_year,region,location,prefecture_district,state_province,latitude,longitude,accuracy,power_plants_supplied,cost,cost_units,cost_usd,fid_status,fid_year,floating,last_updated,status_smpl
T0237,3,T023703,https://www.gem.wiki/Point_Arthur_LNG_Terminal,Port Arthur LNG Terminal,T3,Export,Proposed,United States,NA,NA,"PALNG Common Facilities Company, LLC [unknown %]; Port Arthur LNG Phase II, LLC [unknown %]",ConocoPhillips [unknown %]; Sempra Energy [unknown %],United States; United States,6.75,mtpa,6.75,9.18,NA,NA,NA,NA,2023,NA,NA,NA,NA,2023,NA,NA,NA,Americas,Port Arthur,NA,Texas,29.81166342,-93.95962882,approximate,NA,1000000000,USD,1000000000,Pre-FID,2024,NA,2023-08-28,proposed
T0237,4,T023704,https://www.gem.wiki/Point_Arthur_LNG_Terminal,Port Arthur LNG Terminal,T4,Export,Proposed,United States,NA,NA,"PALNG Common Facilities Company, LLC [unknown %]; Port Arthur LNG Phase II, LLC [unknown %]",ConocoPhillips [unknown %]; Sempra Energy [unknown %],United States; United States,6.75,mtpa,6.75,9.18,NA,NA,NA,NA,2023,NA,NA,NA,NA,2023,NA,NA,NA,Americas,Port Arthur,NA,Texas,29.81166342,-93.95962882,approximate,NA,1000000000,USD,1000000000,Pre-FID,2024,NA,2023-08-28,proposed
T0205,1,T020501,https://www.gem.wiki/Fourchon_LNG_Terminal,Fourchon LNG Terminal,Phase 1,Export,Proposed,United States,NA,Gulf Coast LNG Terminal,Fourchon LNG LLC [100.00%],Energy World [100.00%],Australia,2,mtpa,2,2.72,2017,NA,NA,NA,2021,NA,NA,NA,NA,2021,2022,NA,Presumed,Americas,Port Fourchon,Lafourche Parish,Louisiana,29.105833,-90.194444,approximate,NA,888000000,USD,888000000,Pre-FID,NA,NA,2023-09-06,proposed
T0973,1,T097301,https://www.gem.wiki/CP2_LNG_Terminal,CP2 LNG Terminal,Phase 1,Export,Proposed,United States,NA,Calcasieu Pass 2 LNG Terminal,"Venture Global CP2 LNG, LLC [100.00%]",Venture Global LNG [100.00%],United States,10,mtpa,10,13.6,NA,NA,NA,NA,2026,NA,NA,NA,NA,2026,NA,NA,NA,Americas,Cameron,Cameron Parish,Louisiana,29.77427234,-93.32394745,exact,NA,5000000000,USD,5000000000,Pre-FID,2023,NA,2023-09-01,proposed
T0973,2,T097302,https://www.gem.wiki/CP2_LNG_Terminal,CP2 LNG Terminal,Phase 2,Export,Proposed,United States,NA,Calcasieu Pass 2 LNG Terminal,"Venture Global CP2 LNG, LLC [100.00%]",Venture Global LNG [100.00%],United States,10,mtpa,10,13.6,NA,NA,NA,NA,2027,NA,NA,NA,NA,2027,NA,NA,NA,Americas,Cameron,Cameron Parish,Louisiana,29.77427234,-93.32394745,exact,NA,5000000000,USD,5000000000,Pre-FID,2023,NA,2023-09-01,proposed
T1002,1,T100201,https://www.gem.wiki/New_Fortress_Grand_Isle_FLNG_Terminal,New Fortress Grand Isle FLNG Terminal,NA,Export,Proposed,United States,NA,NA,New Fortress Energy Louisiana LLC [100.00%],New Fortress Energy [100.00%],United States,2.8,mtpa,2.8,3.81,2022,NA,NA,NA,2023,NA,NA,NA,NA,2023,NA,NA,NA,Americas,Grand Isle,NA,Louisiana,29.05902215,-89.82260253,approximate,NA,1400000000,USD,1400000000,NA,NA,yes,2023-09-06,proposed
T0215,1,T021501,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal,T1,Export,Proposed,United States,NA,NA,Commonwealth LNG [100.00%],Commonwealth LNG [100.00%],United States,1.55,mtpa,1.55,2.11,NA,NA,NA,NA,2024,NA,NA,NA,2027,2027,NA,NA,NA,Americas,Cameron Parish,NA,Louisiana,29.764163,-93.348066,approximate,NA,800000000,USD,800000000,Pre-FID,2024,NA,2023-09-19,proposed
T0215,2,T021502,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal,T2,Export,Proposed,United States,NA,NA,Commonwealth LNG [100.00%],Commonwealth LNG [100.00%],United States,1.55,mtpa,1.55,2.11,NA,NA,NA,NA,2024,NA,NA,NA,2027,2027,NA,NA,NA,Americas,Cameron Parish,NA,Louisiana,29.764163,-93.348066,approximate,NA,800000000,USD,800000000,Pre-FID,2024,NA,2023-09-19,proposed
T0215,3,T021503,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal,T3,Export,Proposed,United States,NA,NA,Commonwealth LNG [100.00%],Commonwealth LNG [100.00%],United States,1.55,mtpa,1.55,2.11,NA,NA,NA,NA,2024,NA,NA,NA,2027,2027,NA,NA,NA,Americas,Cameron Parish,NA,Louisiana,29.764163,-93.348066,approximate,NA,800000000,USD,800000000,Pre-FID,2024,NA,2023-09-19,proposed
T0215,4,T021504,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal,T4,Export,Proposed,United States,NA,NA,Commonwealth LNG [100.00%],Commonwealth LNG [100.00%],United States,1.55,mtpa,1.55,2.11,NA,NA,NA,NA,2024,NA,NA,NA,2027,2027,NA,NA,NA,Americas,Cameron Parish,NA,Louisiana,29.764163,-93.348066,approximate,NA,800000000,USD,800000000,Pre-FID,2024,NA,2023-09-19,proposed
T0215,5,T021505,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal,T5,Export,Proposed,United States,NA,NA,Commonwealth LNG [100.00%],Commonwealth LNG [100.00%],United States,1.55,mtpa,1.55,2.11,NA,NA,NA,NA,2024,NA,NA,NA,2027,2027,NA,NA,NA,Americas,Cameron Parish,NA,Louisiana,29.764163,-93.348066,approximate,NA,800000000,USD,800000000,Pre-FID,2024,NA,2023-09-19,proposed
T0215,6,T021506,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal,T6,Export,Proposed,United States,NA,NA,Commonwealth LNG [100.00%],Commonwealth LNG [100.00%],United States,1.55,mtpa,1.55,2.11,NA,NA,NA,NA,2024,NA,NA,NA,2027,2027,NA,NA,NA,Americas,Cameron Parish,NA,Louisiana,29.764163,-93.348066,approximate,NA,800000000,USD,800000000,Pre-FID,2024,NA,2023-09-19,proposed
T0227,1,T022701,https://www.gem.wiki/Golden_Pass_LNG,Golden Pass LNG Terminal,T1,Export,Construction,United States,NA,NA,Golden Pass LNG Terminal LLC [100.00%],Qatar Petroleum [70.00%]; ExxonMobil [30.00%],Qatar; United States,6.03,mtpa,6.03,8.21,NA,NA,2019,NA,2024,NA,NA,NA,NA,2024,NA,NA,NA,Americas,Sabine Pass,NA,Texas,29.761394,-93.919418,exact,NA,3333333333,USD,3333333333,FID,2019,NA,2023-08-24,inactive
T0227,2,T022702,https://www.gem.wiki/Golden_Pass_LNG,Golden Pass LNG Terminal,T2,Export,Construction,United States,NA,NA,Golden Pass LNG Terminal LLC [100.00%],Qatar Petroleum [70.00%]; ExxonMobil [30.00%],Qatar; United States,6.03,mtpa,6.03,8.21,NA,NA,2019,NA,2024,NA,NA,NA,NA,2024,NA,NA,NA,Americas,Sabine Pass,NA,Texas,29.761394,-93.919418,exact,NA,3333333333,USD,3333333333,FID,2019,NA,2023-08-24,inactive
T0227,3,T022703,https://www.gem.wiki/Golden_Pass_LNG,Golden Pass LNG Terminal,T3,Export,Construction,United States,NA,NA,Golden Pass LNG Terminal LLC [100.00%],Qatar Petroleum [70.00%]; ExxonMobil [30.00%],Qatar; United States,6.03,mtpa,6.03,8.21,NA,NA,2019,NA,2025,NA,NA,NA,NA,2025,NA,NA,NA,Americas,Sabine Pass,NA,Texas,29.761394,-93.919418,exact,NA,3333333333,USD,3333333333,FID,2019,NA,2023-08-24,inactive
T0240,6,T024006,https://www.gem.wiki/Sabine_Pass_LNG_Terminal,Sabine Pass LNG Terminal,T6,Export,Operating,United States,NA,NA,Sabine Pass Liquefaction [100.00%],Cheniere Energy [100.00%],United States,4.5,mtpa,4.5,6.12,NA,NA,NA,NA,2021,NA,NA,NA,NA,2021,NA,NA,NA,Americas,Sabine Pass,NA,Louisiana,29.75409666,-93.87405115,exact,NA,2500000000,USD,2500000000,NA,NA,NA,2023-08-24,active
T0212,1,T021201,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,T1,Export,Operating,United States,NA,NA,Venture Global Calcasieu Pass [100.00%],Venture Global LNG [100.00%],United States,0.67,mtpa,0.67,0.91,NA,NA,NA,NA,2022,NA,NA,NA,NA,2022,NA,NA,NA,Americas,Cameron Parish,NA,Louisiana,29.77292736,-93.3343038,exact,NA,394444444,USD,394444444.4,NA,NA,NA,2023-08-24,active
T0212,2,T021202,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,T2,Export,Operating,United States,NA,NA,Venture Global Calcasieu Pass [100.00%],Venture Global LNG [100.00%],United States,0.67,mtpa,0.67,0.91,NA,NA,NA,NA,2022,NA,NA,NA,NA,2022,NA,NA,NA,Americas,Cameron Parish,NA,Louisiana,29.77292736,-93.3343038,exact,NA,394444444,USD,394444444.4,NA,NA,NA,2023-08-24,active
